Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena
Oct 21 2022,7:30p,Toronto Raptors,105,Brooklyn Nets,109,Box Score,,17732,Barclays Center
Oct 21 2022,7:30p,Boston Celtics,111,Miami Heat,104,Box Score,,19600,FTX Arena
Oct 21 2022,7:30p,Detroit Pistons,106,New York Knicks,130,Box Score,,19812,Madison Square Garden (IV)
Oct 21 2022,8:00p,Memphis Grizzlies,129,Houston Rockets,122,Box Score,,18055,Toyota Center
Oct 21 2022,8:00p,Utah Jazz,132,Minnesota Timberwolves,126,Box Score,OT,17136,Target Center
Oct 21 2022,10:00p,Denver Nuggets,128,Golden State Warriors,123,Box Score,,18064,Chase Center
Oct 21 2022,10:00p,Phoenix Suns,111,Portland Trail Blazers,113,Box Score,OT,19393,Moda Center
Oct 22 2022,6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,Box Score,,19822,Wells Fargo Center
Oct 22 2022,7:00p,Detroit Pistons,115,Indiana Pacers,124,Box Score,,16056,Gainbridge Fieldhouse
Oct 22 2022,7:00p,Boston Celtics,126,Orlando Magic,120,Box Score,,19299,Amway Center
Oct 22 2022,8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,Box Score,,21089,United Center
Oct 22 2022,8:00p,Toronto Raptors,109,Miami Heat,112,Box Score,,19600,FTX Arena
Oct 22 2022,8:00p,Houston Rockets,105,Milwaukee Bucks,125,Box Score,,17341,Fiserv Forum
Oct 22 2022,8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,Box Score,,20377,American Airlines Center
Oct 22 2022,9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,Box Score,,19983,Ball Arena
Oct 22 2022,10:00p,Los Angeles Clippers,111,Sacramento Kings,109,Box Score,,16296,Golden 1 Center
Oct 23 2022,3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,Box Score,,18997,Crypto.com Arena
Oct 23 2022,5:00p,Charlotte Hornets,126,Atlanta Hawks,109,Box Score,,17383,State Farm Arena
Oct 23 2022,7:00p,Washington Wizards,107,Cleveland Cavaliers,117,Box Score,OT,19432,Rocket Mortgage Fieldhouse
Oct 23 2022,7:00p,Utah Jazz,122,New Orleans Pelicans,121,Box Score,OT,18665,Smoothie King Center
Oct 23 2022,8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,Box Score,,15044,Paycom Center
Oct 23 2022,8:30p,Sacramento Kings,125,Golden State Warriors,130,Box Score,,18064,Chase Center
Oct 23 2022,10:00p,Phoenix Suns,112,Los Angeles Clippers,95,Box Score,,19068,Crypto.com Arena
Oct 24 2022,7:00p,Indiana Pacers,106,Philadelphia 76ers,120,Box Score,,19786,Wells Fargo Center
Oct 24 2022,7:30p,Toronto Raptors,98,Miami Heat,90,Box Score,,19600,FTX Arena
Oct 24 2022,7:30p,Orlando Magic,102,New York Knicks,115,Box Score,,18800,Madison Square Garden (IV)
Oct 24 2022,8:00p,Boston Celtics,102,Chicago Bulls,120,Box Score,,17673,United Center
Oct 24 2022,8:00p,Utah Jazz,108,Houston Rockets,114,Box Score,,16260,Toyota Center
Oct 24 2022,8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,Box Score,,17392,FedEx Forum
Oct 24 2022,8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,Box Score,,15347,Target Center
Oct 24 2022,10:00p,Denver Nuggets,110,Portland Trail Blazers,135,Box Score,,18111,Moda Center
Oct 25 2022,7:00p,Detroit Pistons,99,Washington Wizards,120,Box Score,,13196,Capital One Arena
Oct 25 2022,7:30p,Dallas Mavericks,111,New Orleans Pelicans,113,Box Score,,14020,Smoothie King Center
Oct 25 2022,8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108,Box Score,,13105,Paycom Center
Oct 25 2022,10:00p,Golden State Warriors,105,Phoenix Suns,134,Box Score,,17071,Footprint Center
Oct 26 2022,7:00p,Orlando Magic,92,Cleveland Cavaliers,103,Box Score,,0,Rocket Mortgage Fieldhouse
Oct 26 2022,7:00p,Atlanta Hawks,118,Detroit Pistons,113,Box Score,,17987,Little Caesars Arena
Oct 26 2022,7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,Box Score,,17341,Fiserv Forum
Oct 26 2022,7:30p,Charlotte Hornets,131,New York Knicks,134,Box Score,OT,19812,Madison Square Garden (IV)
Oct 26 2022,7:30p,Philadelphia 76ers,109,Toronto Raptors,119,Box Score,,19800,Scotiabank Arena
Oct 26 2022,8:00p,Indiana Pacers,109,Chicago Bulls,124,Box Score,,18306,United Center
Oct 26 2022,8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,Box Score,,16165,Target Center
Oct 26 2022,9:00p,Houston Rockets,101,Utah Jazz,109,Box Score,,18206,Vivint Arena
Oct 26 2022,10:00p,Los Angeles Lakers,99,Denver Nuggets,110,Box Score,,19520,Ball Arena
Oct 26 2022,10:00p,Miami Heat,119,Portland Trail Blazers,98,Box Score,,18588,Moda Center
Oct 27 2022,7:30p,Dallas Mavericks,129,Brooklyn Nets,125,Box Score,OT,18039,Barclays Center
Oct 27 2022,8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118,Box Score,,14510,Paycom Center
Oct 27 2022,10:00p,Miami Heat,110,Golden State Warriors,123,Box Score,,18064,Chase Center
Oct 27 2022,10:00p,Memphis Grizzlies,125,Sacramento Kings,110,Box Score,,15511,Golden 1 Center
Oct 28 2022,7:00p,Atlanta Hawks,136,Detroit Pistons,112,Box Score,,18923,Little Caesars Arena
Oct 28 2022,7:00p,Charlotte Hornets,93,Orlando Magic,113,Box Score,,18846,Amway Center
Oct 28 2022,7:30p,Cleveland Cavaliers,132,Boston Celtics,123,Box Score,OT,19156,TD Garden
Oct 28 2022,7:30p,Philadelphia 76ers,112,Toronto Raptors,90,Box Score,,19800,Scotiabank Arena
Oct 28 2022,7:30p,Indiana Pacers,127,Washington Wizards,117,Box Score,,13463,Capital One Arena
Oct 28 2022,8:00p,New York Knicks,108,Milwaukee Bucks,119,Box Score,,17341,Fiserv Forum
Oct 28 2022,8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,Box Score,,17136,Target Center
Oct 28 2022,8:30p,Chicago Bulls,124,San Antonio Spurs,129,Box Score,,16562,AT&T Center
Oct 28 2022,9:00p,Utah Jazz,101,Denver Nuggets,117,Box Score,,19560,Ball Arena
Oct 28 2022,10:00p,New Orleans Pelicans,111,Phoenix Suns,124,Box Score,,17071,Footprint Center
Oct 28 2022,10:00p,Houston Rockets,111,Portland Trail Blazers,125,Box Score,,19082,Moda Center
Oct 29 2022,6:00p,Miami Heat,113,Sacramento Kings,119,Box Score,,14618,Golden 1 Center
Oct 29 2022,7:00p,Golden State Warriors,113,Charlotte Hornets,120,Box Score,OT,19079,Spectrum Center
Oct 29 2022,7:30p,Indiana Pacers,125,Brooklyn Nets,116,Box Score,,17732,Barclays Center
Oct 29 2022,8:00p,Philadelphia 76ers,114,Chicago Bulls,109,Box Score,,19010,United Center
Oct 29 2022,8:00p,Atlanta Hawks,115,Milwaukee Bucks,123,Box Score,,17341,Fiserv Forum
Oct 29 2022,9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111,Box Score,OT,20307,American Airlines Center
Oct 29 2022,9:00p,Memphis Grizzlies,123,Utah Jazz,124,Box Score,,18206,Vivint Arena
Oct 30 2022,3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91,Box Score,,18142,Crypto.com Arena
Oct 30 2022,6:00p,Washington Wizards,94,Boston Celtics,112,Box Score,,19156,TD Garden
Oct 30 2022,6:00p,New York Knicks,108,Cleveland Cavaliers,121,Box Score,,19432,Rocket Mortgage Fieldhouse
Oct 30 2022,6:00p,Golden State Warriors,114,Detroit Pistons,128,Box Score,,20190,Little Caesars Arena
Oct 30 2022,7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107,Box Score,,15053,AT&T Center
Oct 30 2022,7:30p,Orlando Magic,105,Dallas Mavericks,114,Box Score,,20042,American Airlines Center
Oct 30 2022,9:00p,Houston Rockets,109,Phoenix Suns,124,Box Score,,17071,Footprint Center
Oct 30 2022,9:30p,Denver Nuggets,110,Los Angeles Lakers,121,Box Score,,18997,Crypto.com Arena
Oct 31 2022,7:00p,Sacramento Kings,115,Charlotte Hornets,108,Box Score,,12020,Spectrum Center
Oct 31 2022,7:00p,Philadelphia 76ers,118,Washington Wizards,111,Box Score,,13746,Capital One Arena
Oct 31 2022,7:30p,Indiana Pacers,109,Brooklyn Nets,116,Box Score,,15770,Barclays Center
Oct 31 2022,7:30p,Atlanta Hawks,109,Toronto Raptors,139,Box Score,,19800,Scotiabank Arena
Oct 31 2022,8:00p,Detroit Pistons,108,Milwaukee Bucks,110,Box Score,,17341,Fiserv Forum
Oct 31 2022,9:00p,Memphis Grizzlies,105,Utah Jazz,121,Box Score,,18206,Vivint Arena
Oct 31 2022,10:30p,Houston Rockets,93,Los Angeles Clippers,95,Box Score,,14887,Crypto.com Arena
Nov 1 2022,7:30p,Chicago Bulls,108,Brooklyn Nets,99,Box Score,,17732,Barclays Center
Nov 1 2022,7:30p,Golden State Warriors,109,Miami Heat,116,Box Score,,19600,FTX Arena
Nov 1 2022,8:00p,Orlando Magic,108,Oklahoma City Thunder,116,Box Score,,13109,Paycom Center
Nov 1 2022,10:00p,Minnesota Timberwolves,107,Phoenix Suns,116,Box Score,,17071,Footprint Center
Nov 2 2022,6:00p,Washington Wizards,121,Philadelphia 76ers,111,Box Score,,19855,Wells Fargo Center
Nov 2 2022,7:30p,Boston Celtics,113,Cleveland Cavaliers,114,Box Score,OT,19432,Rocket Mortgage Fieldhouse
Nov 2 2022,7:30p,Sacramento Kings,107,Miami Heat,110,Box Score,,19600,FTX Arena
Nov 2 2022,7:30p,Atlanta Hawks,112,New York Knicks,99,Box Score,,19812,Madison Square Garden (IV)
Nov 2 2022,8:00p,Charlotte Hornets,88,Chicago Bulls,106,Box Score,,17886,United Center
Nov 2 2022,8:00p,Los Angeles Clippers,109,Houston Rockets,101,Box Score,,15860,Toyota Center
Nov 2 2022,8:00p,Detroit Pistons,91,Milwaukee Bucks,116,Box Score,,17341,Fiserv Forum
Nov 2 2022,8:00p,Toronto Raptors,143,San Antonio Spurs,100,Box Score,,12155,AT&T Center
Nov 2 2022,8:30p,Utah Jazz,100,Dallas Mavericks,103,Box Score,,19877,American Airlines Center
Nov 2 2022,10:00p,Memphis Grizzlies,111,Portland Trail Blazers,106,Box Score,,19462,Moda Center
Nov 2 2022,10:30p,New Orleans Pelicans,117,Los Angeles Lakers,120,Box Score,OT,18997,Crypto.com Arena
Nov 3 2022,7:00p,Golden State Warriors,129,Orlando Magic,130,Box Score,,18846,Amway Center
Nov 3 2022,8:00p,Denver Nuggets,122,Oklahoma City Thunder,110,Box Score,,13791,Paycom Center
Nov 4 2022,7:00p,Cleveland Cavaliers,112,Detroit Pistons,88,Box Score,,18744,Little Caesars Arena
Nov 4 2022,7:00p,Miami Heat,99,Indiana Pacers,101,Box Score,,13141,Gainbridge Fieldhouse
Nov 4 2022,7:00p,New York Knicks,106,Philadelphia 76ers,104,Box Score,,20679,Wells Fargo Center
Nov 4 2022,7:00p,Brooklyn Nets,128,Washington Wizards,86,Box Score,,17258,Capital One Arena
Nov 4 2022,7:30p,Chicago Bulls,119,Boston Celtics,123,Box Score,,19156,TD Garden
Nov 4 2022,8:00p,Charlotte Hornets,99,Memphis Grizzlies,130,Box Score,,17187,FedEx Forum
Nov 4 2022,8:00p,Los Angeles Clippers,113,San Antonio Spurs,106,Box Score,,12603,AT&T Center
Nov 4 2022,8:30p,Toronto Raptors,110,Dallas Mavericks,111,Box Score,,20177,American Airlines Center
Nov 4 2022,8:30p,Golden State Warriors,105,New Orleans Pelicans,114,Box Score,,18451,Smoothie King Center
Nov 4 2022,10:00p,Milwaukee Bucks,115,Minnesota Timberwolves,102,Box Score,,17136,Target Center
Nov 4 2022,10:00p,Portland Trail Blazers,108,Phoenix Suns,106,Box Score,,17071,Footprint Center
Nov 4 2022,10:30p,Utah Jazz,130,Los Angeles Lakers,116,Box Score,,18997,Crypto.com Arena
Nov 5 2022,5:00p,Sacramento Kings,126,Orlando Magic,123,Box Score,OT,18846,Amway Center
Nov 5 2022,7:00p,Brooklyn Nets,98,Charlotte Hornets,94,Box Score,,19398,Spectrum Center
Nov 5 2022,7:30p,New Orleans Pelicans,121,Atlanta Hawks,124,Box Score,OT,17654,State Farm Arena
Nov 5 2022,7:30p,Boston Celtics,133,New York Knicks,118,Box Score,,19812,Madison Square Garden (IV)
Nov 5 2022,8:00p,Oklahoma City Thunder,94,Milwaukee Bucks,108,Box Score,,17713,Fiserv Forum
Nov 5 2022,8:00p,Houston Rockets,117,Minnesota Timberwolves,129,Box Score,,16412,Target Center
Nov 5 2022,9:00p,San Antonio Spurs,101,Denver Nuggets,126,Box Score,,19641,Ball Arena
Nov 5 2022,10:00p,Portland Trail Blazers,82,Phoenix Suns,102,Box Score,,17071,Footprint Center
Nov 6 2022,3:30p,Cleveland Cavaliers,114,Los Angeles Lakers,100,Box Score,,18997,Crypto.com Arena
Nov 6 2022,6:00p,Washington Wizards,97,Memphis Grizzlies,103,Box Score,,16877,FedEx Forum
Nov 6 2022,6:00p,Chicago Bulls,104,Toronto Raptors,113,Box Score,,19800,Scotiabank Arena
Nov 6 2022,10:00p,Utah Jazz,110,Los Angeles Clippers,102,Box Score,,16111,Crypto.com Arena
Nov 7 2022,7:00p,Washington Wizards,108,Charlotte Hornets,100,Box Score,,13712,Spectrum Center
Nov 7 2022,7:15p,Houston Rockets,134,Orlando Magic,127,Box Score,,15441,Amway Center
Nov 7 2022,7:30p,Oklahoma City Thunder,103,Detroit Pistons,112,Box Score,,16223,Little Caesars Arena
Nov 7 2022,7:45p,New Orleans Pelicans,122,Indiana Pacers,129,Box Score,,14052,Gainbridge Fieldhouse
Nov 7 2022,8:00p,Phoenix Suns,88,Philadelphia 76ers,100,Box Score,,20347,Wells Fargo Center
Nov 7 2022,8:15p,Milwaukee Bucks,98,Atlanta Hawks,117,Box Score,,17494,State Farm Arena
Nov 7 2022,8:30p,Portland Trail Blazers,110,Miami Heat,107,Box Score,,19600,FTX Arena
Nov 7 2022,8:45p,Toronto Raptors,97,Chicago Bulls,111,Box Score,,21142,United Center
Nov 7 2022,9:00p,Boston Celtics,109,Memphis Grizzlies,106,Box Score,,17371,FedEx Forum
Nov 7 2022,9:15p,New York Knicks,120,Minnesota Timberwolves,107,Box Score,,14524,Target Center
Nov 7 2022,9:30p,Denver Nuggets,115,San Antonio Spurs,109,Box Score,,11574,AT&T Center
Nov 7 2022,9:45p,Brooklyn Nets,94,Dallas Mavericks,96,Box Score,,20011,American Airlines Center
Nov 7 2022,10:00p,Sacramento Kings,113,Golden State Warriors,116,Box Score,,18064,Chase Center
Nov 7 2022,10:15p,Los Angeles Lakers,116,Utah Jazz,139,Box Score,,18206,Vivint Arena
Nov 7 2022,10:30p,Cleveland Cavaliers,117,Los Angeles Clippers,119,Box Score,,16516,Crypto.com Arena
Nov 9 2022,5:30p,Dallas Mavericks,87,Orlando Magic,94,Box Score,,18165,Amway Center
Nov 9 2022,7:00p,Portland Trail Blazers,105,Charlotte Hornets,95,Box Score,,14774,Spectrum Center
Nov 9 2022,7:00p,Denver Nuggets,122,Indiana Pacers,119,Box Score,,14069,Gainbridge Fieldhouse
Nov 9 2022,7:30p,Utah Jazz,125,Atlanta Hawks,119,Box Score,,15845,State Farm Arena
Nov 9 2022,7:30p,Detroit Pistons,112,Boston Celtics,128,Box Score,,19156,TD Garden
Nov 9 2022,7:30p,New York Knicks,85,Brooklyn Nets,112,Box Score,,18156,Barclays Center
Nov 9 2022,7:30p,Houston Rockets,109,Toronto Raptors,116,Box Score,,19800,Scotiabank Arena
Nov 9 2022,8:00p,New Orleans Pelicans,115,Chicago Bulls,111,Box Score,,19621,United Center
Nov 9 2022,8:00p,Phoenix Suns,129,Minnesota Timberwolves,117,Box Score,,16062,Target Center
Nov 9 2022,8:00p,Milwaukee Bucks,136,Oklahoma City Thunder,132,Box Score,2OT,15180,Paycom Center
Nov 9 2022,8:00p,Memphis Grizzlies,124,San Antonio Spurs,122,Box Score,OT,13507,AT&T Center
Nov 9 2022,10:00p,Los Angeles Lakers,101,Los Angeles Clippers,114,Box Score,,19068,Crypto.com Arena
Nov 9 2022,10:00p,Cleveland Cavaliers,120,Sacramento Kings,127,Box Score,,13816,Golden 1 Center
Nov 10 2022,7:00p,Dallas Mavericks,105,Washington Wizards,113,Box Score,,18320,Capital One Arena
Nov 10 2022,7:30p,Philadelphia 76ers,95,Atlanta Hawks,104,Box Score,,16066,State Farm Arena
Nov 10 2022,7:30p,Charlotte Hornets,112,Miami Heat,117,Box Score,OT,19600,FTX Arena
Nov 10 2022,8:00p,Portland Trail Blazers,106,New Orleans Pelicans,95,Box Score,,14289,Smoothie King Center
Nov 11 2022,7:00p,Denver Nuggets,112,Boston Celtics,131,Box Score,,19156,TD Garden
Nov 11 2022,7:00p,Phoenix Suns,97,Orlando Magic,114,Box Score,,15879,Amway Center
Nov 11 2022,7:30p,Detroit Pistons,112,New York Knicks,121,Box Score,,19812,Madison Square Garden (IV)
Nov 11 2022,8:00p,Toronto Raptors,113,Oklahoma City Thunder,132,Box Score,,16104,Paycom Center
Nov 11 2022,8:00p,Milwaukee Bucks,93,San Antonio Spurs,111,Box Score,,15642,AT&T Center
Nov 11 2022,9:30p,Minnesota Timberwolves,103,Memphis Grizzlies,114,Box Score,,16939,FedEx Forum
Nov 11 2022,10:00p,Cleveland Cavaliers,101,Golden State Warriors,106,Box Score,,18064,Chase Center
Nov 11 2022,10:30p,Sacramento Kings,120,Los Angeles Lakers,114,Box Score,,17849,Crypto.com Arena
Nov 12 2022,4:00p,Brooklyn Nets,110,Los Angeles Clippers,95,Box Score,,17777,Crypto.com Arena
Nov 12 2022,6:00p,Utah Jazz,112,Washington Wizards,121,Box Score,,13673,Capital One Arena
Nov 12 2022,7:00p,Boston Celtics,117,Detroit Pistons,108,Box Score,,20190,Little Caesars Arena
Nov 12 2022,7:00p,Toronto Raptors,104,Indiana Pacers,118,Box Score,,13089,Gainbridge Fieldhouse
Nov 12 2022,7:30p,Atlanta Hawks,109,Philadelphia 76ers,121,Box Score,,20245,Wells Fargo Center
Nov 12 2022,8:00p,Charlotte Hornets,115,Miami Heat,132,Box Score,,19600,FTX Arena
Nov 12 2022,8:30p,Portland Trail Blazers,112,Dallas Mavericks,117,Box Score,,20277,American Airlines Center
Nov 12 2022,8:30p,Houston Rockets,106,New Orleans Pelicans,119,Box Score,,15367,Smoothie King Center
Nov 13 2022,12:00p,Oklahoma City Thunder,145,New York Knicks,135,Box Score,,18325,Madison Square Garden (IV)
Nov 13 2022,6:00p,Minnesota Timberwolves,129,Cleveland Cavaliers,124,Box Score,,19432,Rocket Mortgage Fieldhouse
Nov 13 2022,6:00p,Memphis Grizzlies,92,Washington Wizards,102,Box Score,,17667,Capital One Arena
Nov 13 2022,7:30p,Utah Jazz,98,Philadelphia 76ers,105,Box Score,,19761,Wells Fargo Center
Nov 13 2022,8:00p,Denver Nuggets,126,Chicago Bulls,103,Box Score,,21602,United Center
Nov 13 2022,9:00p,Golden State Warriors,115,Sacramento Kings,122,Box Score,,16410,Golden 1 Center
Nov 13 2022,9:30p,Brooklyn Nets,103,Los Angeles Lakers,116,Box Score,,18040,Crypto.com Arena
Nov 14 2022,7:00p,Toronto Raptors,115,Detroit Pistons,111,Box Score,,16988,Little Caesars Arena
Nov 14 2022,7:00p,Charlotte Hornets,112,Orlando Magic,105,Box Score,,15018,Amway Center
Nov 14 2022,7:30p,Oklahoma City Thunder,122,Boston Celtics,126,Box Score,,,TD Garden
Nov 14 2022,7:30p,Phoenix Suns,112,Miami Heat,113,Box Score,,19600,FTX Arena
Nov 14 2022,8:00p,Los Angeles Clippers,122,Houston Rockets,106,Box Score,,16098,Toyota Center
Nov 14 2022,8:00p,Atlanta Hawks,121,Milwaukee Bucks,106,Box Score,,17341,Fiserv Forum
Nov 14 2022,10:00p,San Antonio Spurs,95,Golden State Warriors,132,Box Score,,18064,Chase Center
Nov 15 2022,7:30p,Memphis Grizzlies,102,New Orleans Pelicans,113,Box Score,,14032,Smoothie King Center
Nov 15 2022,8:30p,Los Angeles Clippers,101,Dallas Mavericks,103,Box Score,,19810,American Airlines Center
Nov 15 2022,9:00p,New York Knicks,118,Utah Jazz,111,Box Score,,18206,Vivint Arena
Nov 15 2022,10:00p,San Antonio Spurs,110,Portland Trail Blazers,117,Box Score,,19012,Moda Center
Nov 15 2022,10:00p,Brooklyn Nets,121,Sacramento Kings,153,Box Score,,17611,Golden 1 Center
Nov 16 2022,7:00p,Indiana Pacers,125,Charlotte Hornets,113,Box Score,,14756,Spectrum Center
Nov 16 2022,7:00p,Minnesota Timberwolves,126,Orlando Magic,108,Box Score,,16527,Amway Center
Nov 16 2022,7:00p,Oklahoma City Thunder,121,Washington Wizards,120,Box Score,,12630,Capital One Arena
Nov 16 2022,7:30p,Boston Celtics,126,Atlanta Hawks,101,Box Score,,18165,State Farm Arena
Nov 16 2022,7:30p,Miami Heat,104,Toronto Raptors,112,Box Score,,19800,Scotiabank Arena
Nov 16 2022,8:00p,Cleveland Cavaliers,98,Milwaukee Bucks,113,Box Score,,17341,Fiserv Forum
Nov 16 2022,8:00p,Chicago Bulls,110,New Orleans Pelicans,124,Box Score,,14658,Smoothie King Center
Nov 16 2022,8:30p,Houston Rockets,101,Dallas Mavericks,92,Box Score,,19602,American Airlines Center
Nov 16 2022,10:00p,New York Knicks,106,Denver Nuggets,103,Box Score,,18210,Ball Arena
Nov 16 2022,10:00p,Golden State Warriors,119,Phoenix Suns,130,Box Score,,17071,Footprint Center
Nov 17 2022,10:00p,Brooklyn Nets,109,Portland Trail Blazers,107,Box Score,,19393,Moda Center
Nov 17 2022,10:00p,San Antonio Spurs,112,Sacramento Kings,130,Box Score,,16522,Golden 1 Center
Nov 17 2022,10:30p,Detroit Pistons,91,Los Angeles Clippers,96,Box Score,,17822,Crypto.com Arena
Nov 18 2022,7:00p,Miami Heat,106,Washington Wizards,107,Box Score,OT,18772,Capital One Arena
Nov 18 2022,7:30p,Charlotte Hornets,122,Cleveland Cavaliers,132,Box Score,2OT,19432,Rocket Mortgage Fieldhouse
Nov 18 2022,7:30p,Milwaukee Bucks,102,Philadelphia 76ers,110,Box Score,,19769,Wells Fargo Center
Nov 18 2022,8:00p,Orlando Magic,108,Chicago Bulls,107,Box Score,,21031,United Center
Nov 18 2022,8:00p,Indiana Pacers,99,Houston Rockets,91,Box Score,,15882,Toyota Center
Nov 18 2022,8:00p,Oklahoma City Thunder,110,Memphis Grizzlies,121,Box Score,,17324,FedEx Forum
Nov 18 2022,8:30p,Denver Nuggets,99,Dallas Mavericks,127,Box Score,,20135,American Airlines Center
Nov 18 2022,8:30p,Boston Celtics,117,New Orleans Pelicans,109,Box Score,,17828,Smoothie King Center
Nov 18 2022,9:00p,Phoenix Suns,133,Utah Jazz,134,Box Score,,18206,Vivint Arena
Nov 18 2022,10:00p,New York Knicks,101,Golden State Warriors,111,Box Score,,18064,Chase Center
Nov 18 2022,10:30p,Detroit Pistons,121,Los Angeles Lakers,128,Box Score,,18095,Crypto.com Arena
Nov 19 2022,6:00p,Toronto Raptors,122,Atlanta Hawks,124,Box Score,OT,18051,State Farm Arena
Nov 19 2022,7:00p,Orlando Magic,113,Indiana Pacers,114,Box Score,,14478,Gainbridge Fieldhouse
Nov 19 2022,7:30p,Minnesota Timberwolves,112,Philadelphia 76ers,109,Box Score,,20515,Wells Fargo Center
Nov 19 2022,10:00p,Utah Jazz,118,Portland Trail Blazers,113,Box Score,,19595,Moda Center
Nov 19 2022,10:30p,San Antonio Spurs,97,Los Angeles Clippers,119,Box Score,,18581,Crypto.com Arena
Nov 20 2022,3:30p,New York Knicks,95,Phoenix Suns,116,Box Score,,17071,Footprint Center
Nov 20 2022,6:00p,Detroit Pistons,129,Sacramento Kings,137,Box Score,,17866,Golden 1 Center
Nov 20 2022,6:00p,Charlotte Hornets,102,Washington Wizards,106,Box Score,,14289,Capital One Arena
Nov 20 2022,7:00p,Memphis Grizzlies,115,Brooklyn Nets,127,Box Score,,18241,Barclays Center
Nov 20 2022,7:00p,Miami Heat,87,Cleveland Cavaliers,113,Box Score,,19432,Rocket Mortgage Fieldhouse
Nov 20 2022,7:00p,Golden State Warriors,127,Houston Rockets,120,Box Score,,18055,Toyota Center
Nov 20 2022,7:30p,Denver Nuggets,98,Dallas Mavericks,97,Box Score,,20244,American Airlines Center
Nov 20 2022,9:30p,San Antonio Spurs,92,Los Angeles Lakers,123,Box Score,,18211,Crypto.com Arena
Nov 21 2022,7:00p,Atlanta Hawks,102,Cleveland Cavaliers,114,Box Score,,19432,Rocket Mortgage Fieldhouse
Nov 21 2022,7:00p,Orlando Magic,102,Indiana Pacers,123,Box Score,,14029,Gainbridge Fieldhouse
Nov 21 2022,8:00p,Boston Celtics,107,Chicago Bulls,121,Box Score,,20786,United Center
Nov 21 2022,8:00p,Portland Trail Blazers,111,Milwaukee Bucks,119,Box Score,,17341,Fiserv Forum
Nov 21 2022,8:00p,Miami Heat,101,Minnesota Timberwolves,105,Box Score,,16583,Target Center
Nov 21 2022,8:00p,Golden State Warriors,83,New Orleans Pelicans,128,Box Score,,18589,Smoothie King Center
Nov 21 2022,8:00p,New York Knicks,129,Oklahoma City Thunder,119,Box Score,,15079,Paycom Center
